Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.7,22,3,1013.3,40,0,10.3,30,44.6,,,,,
2,10.8,15,4,1026.9,51,0,13,28.3,33.5,,,,,
3,12.2,17,2,1026,65,0,11.4,13.9,14.8,,,,,
4,14.3,20,6,1021.5,73,0,11.6,13.3,14.8,,,,,
5,16.8,21,5,1012,67,0,10.6,12,14.8,,,,,
6,19,25,10,1008.4,63,5.08,7.4,15.4,24.1,,,,,
7,16.1,19,14,1013.8,78,0,15.1,12.2,24.1,,,,,
8,14,23,7,1017,75,3.05,7.4,8.3,9.4,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,24.8,29,17,1013.2,35,0,9,25.2,44.6,,,,,
12,23.6,28,13,1005.1,41,0,7.6,30.6,44.6,,,,,
13,18.6,24,13,1004.7,69,3.05,9,36.7,55.4,,,,,
14,17.7,23,9,1017.5,51,0,10.6,12.8,24.1,,,,,
15,20.4,26,9,1013.5,38,0,13.5,22.2,33.5,,,,,
16,24.6,29,9,1005,56,0,6.6,24.1,33.5,,,,,
17,25.6,36,18,1004.2,62,0,7.7,47,55.4,,,,,
18,13.9,17,12,1015.4,91,48.01,10,27.4,44.6,,,,,
19,14.1,17,12,1009.6,90,29.97,8.9,26.7,33.5,,,,,
20,17,23,8,1012,63,0.51,13.4,11.1,14.8,,,,,
21,18.1,27,10,1015.7,76,0,15,12,14.8,,,,,
22,22.6,30,15,1015,75,0,10,22,57.6,,,,,
23,28.1,35,22,1012.6,64,0,6.6,20.9,33.5,,,,,
24,26.6,31,21,1011,65,0,6.1,15.4,24.1,,,,,
25,27.2,34,21,1001.6,61,0,4.7,21.5,44.6,,,,,
26,16.3,18,15,1015.2,90,26.92,14.3,22,33.5,,,,,
27,19.5,22,11,1021.7,61,1.02,22.2,25.4,33.5,,,,,
28,19,23,11,1025.1,59,0,22.5,17.8,24.1,,,,,
29,18.9,24,9,1017.8,60,0,22.5,19.4,24.1,,,,,
30,,,,,,,,,,,,,,
