Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.4,30.4,16.5,1015.5,62,0,15,13.1,24.1,,,,,
2,23.7,30,17.4,1014,63,0,15,10.7,24.1,,,,,
3,24.6,30.4,17.6,1015,57,0,15,15,33.5,,,,,
4,24.4,30.8,18.5,1015.8,64,0,15,3.5,14.8,,,,,
5,25.1,30.4,19.6,1015.4,56,0,15,10.2,24.1,,,,,
6,25,31,20,1012.3,59,0,15,11.9,33.5,,,,,
7,25.1,32.2,20,1011.8,60,0,15,5.4,14.8,,,,,
8,26.8,33.9,20.8,1012.6,55,0,15,0,,,,,,
9,26.4,33.8,19.6,1011.6,60,0,15,8,24.1,,,,,
10,25.7,34.8,19.6,1010.8,64,0,15,4.4,24.1,,,,,
11,26.8,33.4,20,1008.3,59,0,15,5,14.8,,,,,
12,27.7,34,22.4,1007.5,67,0,15,9.1,14.8,,,,,
13,18.6,34.4,13,1013.1,66,18.03,13.5,28,44.3,,,,,
14,16.6,23,8.4,1015.4,60,0,15,8.3,24.1,,,,,
15,19.3,25.9,13,1016.3,63,0,15,10.9,33.5,,,,,
16,22.5,28.9,13,1016.1,58,0,15,8.3,14.8,,,,,
17,20.3,29.6,18.4,1011.7,76,0,13.4,5.4,9.4,,,,,
18,20.6,26.2,15.5,1015.6,59,4.06,7.2,13.7,33.5,,,,,
19,17.9,27.2,7.9,1019.2,54,0,15,1.7,9.4,,,,,
20,20.1,28.6,12.4,1017.2,56,0,15,10.7,33.5,,,,,
21,22.7,32,17,1012.4,67,0,15,3.5,9.4,,,,,
22,24,32,18.4,1010.3,73,,14.3,2.8,9.4,,,,,
23,23.7,34,20.9,1009.8,86,17.02,13.8,10.2,44.3,,,,,
24,19.7,29.8,16.6,1015.6,83,0,15,23,44.3,,,,,
25,19.3,24,8.9,1012.5,89,3.05,10.3,21.9,44.3,,,,,
26,20.5,23.8,18.2,1008.3,89,61.98,12.1,3.5,14.8,,,,,
27,18.7,24.4,12.9,1013.8,70,0,15,15.7,33.5,,,,,
28,19.6,25,14,1017,62,0,15,14.6,33.5,,,,,
29,19,25.6,13.6,1019.1,65,0,15,11.3,22.2,,,,,
30,20.2,26.4,14.8,1016.4,69,0,15,8.3,18.3,,,,,
31,22.3,28.2,16.2,1013.5,78,0,13.7,4.6,11.1,,,,,
