Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,7.4,12.6,-0.9,1028,70,0,20,10.7,22.2,,,,,
2,10.1,16.6,1.4,1022.1,58,0,20,6.3,9.4,,,,,
3,10.1,17.2,3,1020.3,65,0,16.6,17.4,31.3,,,,,
4,7.2,9,3.6,1029.7,82,0,14,11.1,14.8,,,,,
5,8.6,16.8,0,1024.7,71,0,15.4,12.4,22.2,,,,,
6,9.1,17.2,1.4,1019.3,73,0,20,11.5,16.5,,,,,
7,16.5,20.2,12.8,1011.3,71,0,14,10.7,18.3,,,,,
8,14,21.8,12.2,1015.7,87,3.05,14.3,11.5,18.3,,,,,
9,14.3,19,10.1,1026.8,71,1.02,18.8,14.8,18.3,,,,,
10,12.6,19.8,4.7,1026,69,0,17.1,12,14.8,,,,,
11,10.1,15.6,4,1019.3,85,0,10,9.1,14.8,,,,,
12,11.6,16.6,8.1,1016.5,92,0,12.7,8,11.1,,,,,
13,11.9,17.2,7,1022.7,67,2.03,16.3,15.2,18.3,,,,,
14,12.4,15.7,7.7,1025.2,67,0,18.8,7.4,11.1,,,,,
15,11.5,18.2,0.9,1021.8,58,0,20.9,11.5,18.3,,,,,
16,14.5,21,5,1014.6,67,0,20,18.9,29.4,,,,,
17,18.3,21.7,14.8,1012.7,66,0,20,21.1,25.9,,,,,
18,16.6,21.7,13,1015.4,80,0,13.4,7.8,18.3,,,,,
19,15.5,19.4,14,1012.2,91,0,9.2,5.9,11.1,,,,,
20,16.2,17,14.3,1009.9,81,0,20,5.6,7.6,,,,,
21,16.5,21.2,11.7,1011,75,0,15.4,10.7,13,,,,,
22,19.6,24,12,1009.2,83,0,15,16.7,22.2,,,,,
23,,,,,,,,,,,,,,
24,14,22.5,8.4,1020.9,58,0,20,22.2,25.9,,,,,
25,11.9,17.8,4.3,1022.4,58,0,20,13.3,24.1,,,,,
26,12.9,19.4,6.3,1019.4,59,0,20,13.9,18.3,,,,,
27,15.3,16.4,14,1014,94,0.25,10.9,28.7,100,,,,,
28,14.7,18.6,9.6,1015.4,83,10.92,13.7,9.4,14.8,,,,,
29,23.3,28.2,15,1011.5,74,0,14.5,,,,,,,
30,24.9,30.1,18.8,1009.9,66,0,20,18.5,31.3,,,,,
