Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.2,22,13,1015.9,84,0,8.2,5.7,14.8,,,,,
2,16.7,21,13,1013.1,88,0,9,2.4,11.1,,,,,
3,18.3,23,11,1008,64,0,11.1,22.2,40.7,,,,,
4,11.9,18,2,1014.8,57,0,11.4,14.1,27.8,,,,,
5,12.3,16,4,1012.6,80,0,10.9,9.4,25.9,,,,,
6,14.4,20,5,1013.1,68,0,10.6,5,18.3,,,,,
7,15.2,22,9,1015.1,79,0,10.6,1.1,7.6,,,,,
8,19.3,26,9,1014.5,75,0,8.4,2.2,11.1,,,,,
9,22,27,14,1011.6,72,0,9.7,15.6,27.8,,,,,
10,19.1,24,16,1013.5,78,0,10.9,6.7,22.2,,,,,
11,14.9,17,11,1017.8,82,0,12.1,8,18.3,,,,,
12,14.7,15,13,1013.5,97,0.51,3.7,3.7,14.8,,,,,
13,15.8,17,15,1007.3,99,0,6.9,6.9,25.9,,,,,
14,11.7,16,6,1008.3,82,54.1,10.9,6.3,14.8,,,,,
15,11.8,15,6,1009.2,79,0,11.7,16.9,25.9,,,,,
16,9.4,14,5,1012.6,83,0,11.4,16.1,29.4,,,,,
17,8.4,13,2,1014.9,83,0,11.3,13.1,22.2,,,,,
18,8.1,13,1,1014.1,77,1.02,11.6,7.2,18.3,,,,,
19,13.5,16,9,1001.1,68,1.02,11.4,30.7,42.4,,,,,
20,11.3,14,8,1011.1,77,0,12.1,25.6,37,,,,,
21,9.9,14,3,1018.2,77,0,11.9,6.9,18.3,,,,,
22,9,12,4,1021.6,79,1.02,11.4,9.6,25.9,,,,,
23,10.1,15,1,1022.1,73,0,12.1,2.2,7.6,,,,,
24,8.8,15,2,1020.8,84,0,10.6,0,,,,,,
25,9.9,12,5,1017.3,95,0,9.3,0,,,,,,
26,8.4,14,2,1017.8,78,0,11.6,7.4,57.6,,,,,
27,7.1,14,-1,1016.2,81,0,11.9,5.7,14.8,,,,,
28,5.1,12,-1,1015.6,86,0,11.4,2.6,22.2,,,,,
29,8,11,1,1015.9,87,0,11.6,3.5,18.3,,,,,
30,7.2,11,2,1012,78,1.02,10.3,28.9,46.5,,,,,
31,7,11,2,1018.4,79,0,11.9,12,22.2,,,,,
