Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,8.8,14,6,1000.6,68,9.91,24.8,28.5,59.4,,,,,
2,4.6,12,3,1005.5,60,22.1,34,32.2,59.4,,,,,
3,1.4,2,-10,1008.4,67,0,30.4,55.7,79.5,96.5,,,,
4,5.4,8,2,1017.5,54,0,40.1,27.6,50,,,,,
5,4.7,8,0,1020.8,54,0,40.1,22.2,35.2,,,,,
6,6.1,10,-1,1015.5,58,0,40.1,24.1,42.4,,,,,
7,8.4,10,5,1016.1,55,0,40.1,27.6,59.4,,,,,
8,3.1,10,-3,1024.7,63,0,40.1,8,29.4,,,,,
9,2.1,6,-5,1019.6,60,0,40.1,2.6,20.6,,,,,
10,0.6,7,-5,1015.7,70,0,40.1,8.7,59.4,,,,,
11,4.6,8,1,1017.2,48,0,41.5,20.6,35.2,,,,,
12,-1.6,6,-6,1029.1,92,0,32.3,0.7,5.4,,,,,
13,-4.9,3,-14,1038.2,75,0,40.1,0,,,,,,
14,-2.5,3,-10,1027.1,71,0,40.1,36.3,55.4,,,,,
15,3,8,-10,1010,60,0,38.9,33.2,64.8,,,,,
16,10.8,13,5,1004.3,64,0,20.9,50.9,72.2,92.4,,,,
17,13.5,16,10,1003.5,47,5.08,36.2,61.7,90.7,111.1,,,,
18,5.8,7,4,1008.2,71,0,26.1,26.9,59.4,,,,,
19,3.5,8,-1,1015.1,63,2.03,36,19.4,50,,,,,
20,4.2,8,-3,1007.4,50,0,40.1,18.5,40.7,,,,,
21,9.1,11,4,1004.2,45,0,40.1,66.5,90.7,,,,,
22,6.8,9,5,1003.5,57,0,35.9,26.5,59.4,,,,,
23,4.7,9,1,1018.2,60,0,38.9,55.2,68.3,,,,,
24,,,,,,,,,,,,,,
25,11.2,12,10,1008.6,49,0,40.1,65.4,79.5,,,,,
26,9.8,13,4,1017,62,0,38.1,8.1,20.6,,,,,
27,8.4,14,-2,1020.9,68,0,38.8,6.3,29.4,,,,,
28,5.4,15,-1,1018.2,64,0,40.1,11.1,20.6,,,,,
29,2.3,10,-4,1023,81,0,40.1,10.6,24.1,,,,,
30,3.9,9,-2,1024.4,79,0,40.1,3.3,16.5,,,,,
