Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17,23.9,8.6,1014.6,76,0,15,14.8,27.8,,,,,
2,22.9,28,14.5,1010.2,82,0,13.2,11.3,18.3,,,,,
3,22.9,29.6,20.2,1009,83,3.05,12.2,15,22.2,,,,,
4,14.1,27.1,12,1014.8,91,22.1,6.6,17.2,24.1,,,,,
5,12.1,16.8,6.6,1023.4,79,0.51,15,8,13,,,,,
6,12.6,17.4,9,1019.2,81,0,14.3,10.4,20.6,,,,,
7,14.4,17.6,11,1015.7,94,1.02,13.5,7.6,11.1,,,,,
8,15.3,17.7,13,1012.2,94,0.51,11.3,6.7,14.8,,,,,
9,18.3,21.2,14.4,1009.6,91,20.07,11.7,15.9,27.8,,,,,
10,18.2,21.2,17.2,1002.9,96,65.02,7.6,16.5,24.1,,,,,
11,12.7,17.2,8.8,1010.5,70,23.11,14,32.2,42.4,,,,,
12,11.6,17.8,6,1022,73,0,13.2,6.5,9.4,,,,,
13,13.4,19,9.6,1017.7,84,0,15,6.9,11.1,,,,,
14,16.2,22.9,10.3,1011.8,78,0,10.5,6.3,14.8,,,,,
15,14.4,23.5,7.8,1024.1,73,0,15,13.5,22.2,,,,,
16,14.3,19.7,10.2,1028.3,72,0.25,15,8.3,22.2,,,,,
17,14.8,21,8.6,1025.6,74,0,15,5.9,11.1,,,,,
18,16.4,23.2,9.7,1021.4,69,0,13.5,11.1,18.3,,,,,
19,17.4,24.4,11,1016.3,73,0,15,13.9,22.2,,,,,
20,22.2,33.3,15.2,1010.6,72,0,13.4,18.9,37,,,,,
21,14.9,21.4,11.2,1018,91,9.91,11.1,13.9,18.3,,,,,
22,13.4,17.5,11,1019.4,81,18.03,11.9,7.6,14.8,,,,,
23,13.7,21.2,5.6,1021.5,75,0,9.8,4.6,11.1,,,,,
24,16.9,23.8,10.4,1019.1,69,0,15,13,22.2,,,,,
25,19.4,25.8,14.5,1016.9,77,0,14.3,7.6,16.5,,,,,
26,17.6,26.1,15.9,1015.2,90,0,12.9,12.8,18.3,,,,,
27,14.4,19.8,12.9,1016.4,87,36.07,11.6,16.9,22.2,,,,,
28,15,18.5,11.4,1022.3,80,0,14.3,10.7,18.3,,,,,
29,14.8,20.1,12.2,1018.6,84,0.76,14.3,12,16.5,,,,,
30,17.8,23.2,12.5,1007.2,88,6.1,12.4,8.3,14.8,,,,,
