Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,8.9,11.4,5.2,1012.1,,1.02,4,4.3,9.4,,,,,
3,,,,,,,,,,,,,,
4,4.8,10.7,-2.3,1023.6,36,0,10.9,18,33.5,,,,,
5,7.5,11.9,-2.3,1023.8,41,0,8.2,6.5,14.8,,,,,
6,10.4,14.1,2.2,1021.6,49,0,11.6,14.6,33.5,,,,,
7,10,16.4,4.3,1022.3,46,0,11.6,5.2,11.1,,,,,
8,8.3,17.5,-2.2,1017.6,62,0,7.6,7.8,25.9,,,,,
9,9,11.9,2.5,1017.5,53,0,12.1,26.5,35.2,,,,,
10,6.4,12.9,-1.6,1021.8,48,0,11.6,3.3,7.6,,,,,
11,,,,,,,,,,,,,,
12,10.5,13.9,4.9,1015.0,89,0,10.5,8.1,11.1,,,,,
13,13.4,17.9,6.5,1008.1,93,0,4.8,5.6,11.1,,,,,
14,9.6,18.9,0.9,1008.4,,0,4.2,19.1,33.5,,,,,
15,7.6,10.9,4.8,1017.1,81,0,9.5,24.4,33.5,,,,,
16,6.1,7.9,4.2,1026.5,79,0,12.1,23.2,29.4,,,,,
17,7.3,12.7,1.4,1029.6,87,0.51,9.8,21.3,33.5,,,,,
18,8.4,13.9,1.4,1028.3,73,7.11,10.3,17.2,25.9,,,,,
19,7.1,13.6,-1.3,1029.4,69,0,8.9,5.2,11.1,,,,,
20,10.4,13.4,1.9,1026.3,59,0,9.5,9.3,11.1,,,,,
21,8.2,14.7,0.5,1020.9,81,0,9.3,6.3,11.1,,,,,
22,12.3,19.1,2.5,1015.0,70,0,5,10,18.3,,,,,
23,14.7,19.5,6,1009.6,77,0,7.6,10,18.3,,,,,
24,16.1,22.4,14,1007.7,79,0,7.6,24.1,40.7,,,,,
25,14.8,17.5,10.2,1014.5,84,2.03,8.5,34.1,44.3,,,,,
26,14.7,18,13,1011.2,93,0,3.4,22.2,40.7,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,13.9,18.5,4.7,1013.2,63,0,11.3,14.1,22.2,,,,,
30,9.7,18.5,3,1020.1,74,0,10,8.5,18.3,,,,,
31,12.9,17.1,6.5,1013.8,76,0,10.5,13,18.3,,,,,
