Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29,36.3,23.1,1008.2,59,0,20,3.3,14.8,,,,,
2,27.5,34.4,22.4,1007.3,53,0,18.7,7.6,14.8,,,,,
3,25.1,29.2,22,1011.8,66,0,18,5.9,18.3,,,,,
4,23.4,32.3,16,1013.2,66,1.02,19.3,3.7,18.3,,,,,
5,24.4,34.7,17.5,1009.8,57,0,19.2,4.3,14.8,,,,,
6,27,35.7,19,1006.2,50,0,21.2,8.3,18.3,,,,,
7,28.8,36.7,21,1003.9,47,0,20,7.4,16.5,,,,,
8,28.7,37.3,22.1,1005.9,49,0,16.7,10.7,22.2,,,,,
9,27.7,35.3,22.3,1005.5,57,0,19.3,9.1,18.3,,,,,
10,29.9,35.8,23,1005.6,53,0,19.6,9.3,16.5,,,,,
11,26.1,36,22,1010.3,70,0,16.9,11.7,18.3,,,,,
12,27.1,31.7,22.1,1009.9,62,0,19.2,5.4,14.8,,,,,
13,26.4,32.3,23,1010.8,68,0,17.4,10.4,33.5,,,,,
14,22.7,25.7,20.4,1012.5,85,24.89,15.6,11.7,33.5,,,,,
15,25.8,31,20.7,1009.6,66,1.02,19.5,3.1,16.5,,,,,
16,26.9,34.6,21.3,1005.9,61,0,18.8,5.4,16.5,,,,,
17,22.3,35,18.8,1007.8,76,2.03,15.9,7.6,14.8,,,,,
18,21.8,28.1,18.8,1010.5,78,1.27,14.3,3.7,18.3,,,,,
19,22.7,27.9,18,1005.7,72,0,18,9.4,18.3,,,,,
20,24.6,29,20.5,1008.3,64,0,17.9,12.6,27.8,,,,,
21,20.9,29.9,17.3,1010.6,81,7.87,13.7,14.3,55.4,,,,,
22,22.9,29,17.5,1007.4,75,1.02,20,10,18.3,,,,,
23,18.2,29.3,13,1016.0,76,48.01,15.8,9.3,53.5,,,,,
24,20.4,26.5,14,1013.4,67,0,18.5,5.7,14.8,,,,,
25,20.2,27.4,13.8,1012.6,66,0,19.6,3.3,18.3,,,,,
26,22.3,29.2,15,1012.6,66,0,17.2,7.6,18.3,,,,,
27,22.7,30,18,1013.9,67,0,18.2,7.2,24.1,,,,,
28,23.2,30.5,17,1015.9,63,5.08,18.5,2.2,9.4,,,,,
29,23.1,32.2,16.9,1014.5,64,0,18.5,5.2,18.3,,,,,
30,24,32.2,17.1,1014.1,60,0,19.6,7.2,18.3,,,,,
31,23.8,32.3,17,1012.8,60,0,19.2,1.5,14.8,,,,,
