Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.3,20.6,0.5,,54,0,20,8.5,16.5,,,,,
2,9.4,18.2,1.3,,60,0,20,7,16.5,,,,,
3,13.8,21,3,,50,0,20,10.4,18.3,,,,,
4,13.4,22.9,3,,51,0,20,8.5,18.3,,,,,
5,9.8,23.2,2.4,,47,0,19.8,9.4,20.6,,,,,
6,6.6,13.8,-2.8,,58,0,20,6.3,11.1,,,,,
7,9.2,20,-3.3,,46,0,20,6.3,11.1,,,,,
8,11.9,25,-1.7,,39,0,20,7.2,14.8,,,,,
9,21.8,28,14,,11,0,16.7,20,29.4,,,,,
10,21.1,28.2,13.4,,10,0,13.8,20,37,,,,,
11,9.6,13.6,3.3,,55,0,20,7,13,,,,,
12,6.7,14.5,0.2,,56,0,20,5.7,11.1,,,,,
13,7.1,13.6,-2.8,,52,0,20,9.8,22.2,,,,,
14,8,19,-1.6,,48,0,20,10.4,27.8,,,,,
15,19.3,27,12,,27,0,20,17.6,29.4,,,,,
16,18.2,27.7,6.2,,29,0,20,8.5,13,,,,,
17,15.3,28.6,3.8,,37,0,20,7.8,13,,,,,
18,13.7,24,3.2,,45,0,20,9.3,22.2,,,,,
19,14,24.7,4.6,,36,0,20,12,20.6,,,,,
20,5.3,9.2,2.2,,81,3.05,14.8,7.8,14.8,,,,,
21,1.2,6.3,-1.4,,94,8.89,9.8,7.6,13,,,,,
22,1.1,5.2,-1.8,,82,0.51,13.5,6.9,13,,,,,
23,3.8,13.1,-5.1,,69,0,20,3.5,9.4,,,,,
24,12.8,24.6,-3.3,,40,0,18.8,20.9,37,,,,,
25,13.3,24.8,4,,48,0,20,8.1,16.5,,,,,
26,12.3,23.2,0.6,,52,0,20,5.2,11.1,,,,,
27,12.2,24,1.8,,44,0,20,7,11.1,,,,,
28,9.8,19,0.5,,58,0,20,9.1,22.2,,,,,
29,8.4,16.4,2.8,,62,0,19.5,13.3,24.1,,,,,
30,2.8,13.3,-1.5,,62,0.25,17.9,8.1,20.6,,,,,
31,2.9,10.8,-5.5,,61,0,20,5.2,9.4,,,,,
