Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,7.7,17,-0.5,1012.3,59,0,11.3,5,13,,,,,
2,13.9,19,1,1005.7,55,0,10.8,10,20.6,,,,,
3,10.6,20,4.1,1016.8,58,0,11.7,7,14.8,,,,,
4,9.6,18,2.4,1018.8,64,0,11.1,5.6,14.8,,,,,
5,12.2,19.7,2.7,1020.8,58,0,11.4,3,9.4,,,,,
6,11.1,20.2,3.4,1014.2,65,0,10.8,3.7,9.4,,,,,
7,10.9,20.1,4,1014.9,44,0,11.6,10.7,18.3,,,,,
8,5.8,14.2,-0.5,1020.1,51,0,11.1,2.2,11.1,,,,,
9,5.1,12.6,-0.5,1011.9,64,0,10.9,11.7,33.5,,,,,
10,4.3,11,-1.3,1023.6,71,0,10.8,4.6,18.3,,,,,
11,5.2,12,-1.4,1015.2,61,0,11.1,4.6,13,,,,,
12,6.4,15,-1.1,1006.1,54,0,10.9,3.5,16.5,,,,,
13,10.7,22,0.9,1002.2,40,0,10.9,12.4,37,55.4,,,,
14,10,23,2.5,1014.6,56,0,12.2,6.5,11.1,,,,,
15,7.2,11.3,4,1022.5,61,0,12.4,13.9,25.9,,,,,
16,3.2,9.8,2,1033.3,80,0,12.6,11.1,25.9,,,,,
17,3.4,6,2,1029.9,89,0,9.7,1.7,9.4,,,,,
18,6.6,11,2.2,1024.2,66,0,11.1,4.1,14.8,,,,,
19,5.4,12,0.5,1017.9,74,0,10.9,4.1,9.4,,,,,
20,8.3,14,0.5,1016.2,64,0,11.3,5.2,11.1,,,,,
21,8.6,15,3,1011.5,65,0,11.4,5.2,14.8,,,,,
22,8.6,15.4,1.4,1013.0,65,0,10.1,2.6,7.6,,,,,
23,8.2,16,0.1,1013.3,69,0,9.7,2.2,13,,,,,
24,9.4,16,0.7,1015.4,61,0,10.9,3.7,9.4,,,,,
25,10.1,19,2,1008.3,69,0,10.9,8.1,22.2,,,,,
26,10.7,18.7,2,1016.9,78,0,11.9,5.7,11.1,,,,,
27,7.6,12.3,6.5,1015.8,91,0.76,7.6,5.7,18.3,,,,,
28,8.9,14,4.4,1022.2,72,18.03,11.6,9.8,22.2,,,,,
29,8.3,14.5,2,1027.1,69,0,11.7,2,11.1,,,,,
30,8.7,16,1.1,1025.8,67,0,10.9,4.3,13,,,,,
31,8.9,16.2,1.2,1018.4,66,0,10.5,3.5,9.4,,,,,
