Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.9,33.6,20,1012.4,62,0.51,8.2,5.6,14.8,,,,,
2,24.8,30.6,20,1015,64,0,10,6.5,11.1,,,,,
3,25.2,31.6,21.3,1011.6,68,0,9.5,6.5,11.1,,,,,
4,26.7,36,21.6,1002.7,68,0,10,4.6,11.1,,,,,
5,28.3,39.3,22.2,1003.8,44,0,10,13.9,22.2,,,,,
6,21.8,29.4,18.8,1013.6,63,0,10,9.4,14.8,,,,,
7,23.9,30,19.2,1011.4,61,0,10,3.7,11.1,,,,,
8,27.5,37.4,19.8,1004.1,56,0,10,8.3,18.3,,,,,
9,,,,,,,,,,,,,,
10,25.4,33.8,18.4,,56,1.02,6.4,20.4,37,,,,,
11,18.1,23.2,14.5,1015.7,68,0,10,3.7,7.6,,,,,
12,,,,,,,,,,,,,,
13,23.5,32,17.6,1011.5,56,0,10,11.1,18.3,,,,,
14,,,,,,,,,,,,,,
15,30.4,37.5,23.4,1003.3,55,0,8.5,3.7,7.6,,,,,
16,32.7,42.6,21.4,998.5,43,0,6,3.7,7.6,,,,,
17,32.5,43.3,25.9,1001,50,0,5,13,18.3,,,,,
18,29,38.4,22.1,998.2,63,19.05,9.5,6.5,11.1,,,,,
19,29,40,24.9,1002.9,52,0,6.3,22.2,48.2,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,27.4,34,20.6,1009.7,60,0,10,3.7,7.6,,,,,
23,25.2,35.4,20.1,1010.5,73,17.02,9,9.4,14.8,,,,,
24,27.2,34.4,20,1009.4,66,0,8.5,5.6,11.1,,,,,
25,29.1,37.2,20.7,1007.5,57,0,10,6.5,11.1,,,,,
26,30,39.1,20.4,1004,48,0,10,8.3,11.1,,,,,
27,30.2,39.8,21.3,1000.7,45,0,9,7.4,11.1,,,,,
28,32.3,41,22.6,1001.7,45,0,6.4,6.5,11.1,,,,,
29,,,,,,,,,,,,,,
30,29.2,40.9,24.1,997.3,58,0,10,8.3,18.3,,,,,
31,29.3,36,23.5,1002.6,61,0,10,6.5,11.1,,,,,
