Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.9,31,22,,88,5.08,9.7,7.6,22.2,,,,,
2,26,31,22.8,,89,16,8.2,7.8,14.8,,,,,
3,26.9,32,22.5,,86,39.88,8.2,7.6,14.8,,,,,
4,26.6,31,22.8,1009.3,85,16.51,11.1,5.2,9.4,,,,,
5,26.6,30,22.8,,85,0.25,10,9.3,14.8,,,,,
6,26.2,30,22.6,1008.6,86,0,11.4,9.1,18.3,,,,,
7,25.2,28.5,23,,91,0.76,7.9,6.7,14.8,,,,,
8,26.4,30,22.4,,86,46.99,9.8,11.3,18.3,,,,,
9,28,32,22,1009.9,76,2.03,14,10.6,18.3,,,,,
10,27.7,32.5,22,1010.3,78,0,14,4.1,9.4,,,,,
11,26.5,31,22.5,1010.3,86,,10,7,14.8,,,,,
12,28.4,33,21.9,1009.1,76,3.05,9.2,7,14.8,,,,,
13,28,31.8,22.8,1009.7,82,18.03,10.9,9.6,22.2,,,,,
14,28.2,33.5,22,1009,79,0,11.6,4.8,14.8,,,,,
15,25.4,29.2,23,,91,1.02,9.5,9.1,14.8,,,,,
16,26.1,30,23,,89,5.08,11.4,8.3,14.8,,,,,
17,28.6,34,21.5,1009.1,77,0,12.4,3.5,11.1,,,,,
18,27.9,32,22,1008.7,81,0,11.7,6.7,14.8,,,,,
19,27.2,31.5,22,1007.3,82,0,14,9.6,14.8,,,,,
20,27.6,32,22.5,,82,0,12.4,9.4,14.8,,,,,
21,28.6,32.8,23.5,1007.4,78,3.05,11.4,6.1,14.8,,,,,
22,28.6,32.2,23.9,1007.4,77,0,14,11.1,14.8,,,,,
23,28.6,32.7,23,1007.2,76,,13.5,10.7,22.2,,,,,
24,24.8,29.5,22.5,1009.3,95,0.76,5.8,8.9,18.3,,,,,
25,25.8,30,22,,91,52.07,7.9,4.3,13,,,,,
26,27,31,22,1009.4,83,2.03,12.4,4.1,9.4,,,,,
27,26.7,29.7,23,1009.9,88,0,10.1,5.9,13,,,,,
28,23.3,28.8,21,1013.8,85,0,13.5,13.1,18.3,,,,,
29,24.9,28,19.5,1011.2,81,0,11.6,6.7,11.1,,,,,
30,27.1,30,21,,79,0,13.4,8.5,13,,,,,
31,27.2,32.5,22.2,,83,,11.1,7.8,14.8,,,,,
