Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,30.7,34,20.8,1008.6,53,0,41.2,16.7,22.2,,,,,
3,,,,,,,,,,,,,,
4,28.2,31.3,20.2,1010.3,67,50.04,42.5,14.8,18.3,,,,,
5,,,,,,,,,,,,,,
6,26.8,32,21.3,1011.8,74,13.97,22,0,,,,,,
7,27.4,34.5,23.6,1012.7,72,1.02,,0,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,23.2,29.2,19.5,,,0.76,,,,,,,,
12,25.6,27.4,16.2,1015.5,48,0,50.1,16.5,29.4,,,,,
13,28.1,33.2,22.7,1012.2,54,0,,1.9,7.6,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,26.3,29.8,24.1,1009.5,82,0,32.5,12,25.9,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,26.4,31.5,19.2,1009.5,78,7.87,50.1,6.5,25.9,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,27.1,29.8,22.8,1008.2,75,0,50.1,11.1,22.2,,,,,
25,26.1,30,21,1008,77,0.25,50.1,22,25.9,,,,,
26,,,,,,,,,,,,,,
27,25.6,28,22.1,1006.8,82,0,50.1,20.4,22.2,,,,,
28,,,,,,,,,,,,,,
29,20.8,25,19.2,1022,91,0,48.8,0,,,,,,
30,27.2,32.2,22.8,1008.7,68,0,50.1,5.6,11.1,,,,,
