Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.7,15,-5,,46,0,15.1,4.6,10.7,,,,,
2,6.1,16,-3,,43,0,17.5,4.3,18.3,,,,,
3,6.7,15,-2,,45,0,17.5,8.3,21.9,,,,,
4,6,15,-2,,51,0,17.5,3.1,14.8,,,,,
5,5.3,10,1,,73,0,20.8,9.6,18.3,,,,,
6,5.2,13,-1,,68,0,16.9,6.9,25.9,,,,,
7,4.8,14,-1,,65,0,16.7,10,27.8,,,,,
8,5.5,14,-3,,48,0,15.8,5.7,20.2,,,,,
9,4.9,14,-5,,56,0,17.2,4.3,18.3,,,,,
10,5.8,15,-3,,45,0,15.6,3,10.7,,,,,
11,5.1,15,-4,,40,0,15.1,5.4,14.8,,,,,
12,6.5,14,-2,,38,0,15.8,7.4,27.8,,,,,
13,6.6,17,-3,,43,0,18.8,4.3,14.8,,,,,
14,4.8,13,-1,,67,0,19,8.7,14.8,,,,,
15,4.9,13,0,,77,0,16.6,11.9,21.9,,,,,
16,4.2,14,-1,,66,0,24,12.2,36.7,,,,,
17,4,13,-4,,55,0,13.7,17.6,64.8,,,,,
18,6.2,14,-1,,37,0,17.5,17,36.7,,,,,
19,3.6,14,-6,,48,0,17.5,3,10.7,,,,,
20,5.5,14,-6,,42,0,13.8,1.9,10.7,,,,,
21,4.1,13,-6,,47,0,17.7,9.1,27.8,,,,,
22,0.7,10,-4,,64,0,20.6,4.4,18.3,,,,,
23,9.4,14,-5,,31,0,13.8,13.9,33.2,,,,,
24,5.3,14,-2,,46,0,16.1,6.7,27.8,,,,,
25,4.5,14,-3,,55,0,11.7,6.9,18.3,,,,,
26,6.3,14,-2,,44,0,21.7,7.4,36.7,,,,,
27,5.1,14,-2,,65,0,13.4,7.6,18.3,,,,,
28,5.2,13,-4,,57,0,19.5,6.9,14.8,,,,,
29,5.8,14,-3,,49,0,12.4,6.9,27.8,,,,,
30,5.3,14,-3,,43,0,17.2,8.9,18.3,,,,,
