Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,29.2,32,20,1006.7,68,41.91,50.1,4.8,9.4,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,31,33,24,1013.5,63,0,50.1,0.9,3.5,,,,,
7,29,31,25,1012,74,0,50.1,10.7,27.8,,,,,
8,30.2,33,22,1011.5,70,0,50.1,0.9,3.5,,,,,
9,31.8,34,23,1010.3,63,0,50.1,6.1,11.1,,,,,
10,29.8,32,26,1010.2,69,0,50.1,14.3,18.3,,,,,
11,28.5,31,25,1010.9,76,0,50.1,8.3,14.8,,,,,
12,29.8,34,24,1009,71,0,50.1,16.1,25.9,,,,,
13,31.3,34,25,1009.5,65,0,50.1,12,14.8,,,,,
14,29.8,34,23,1010.5,70,0,50.1,0,,,,,,
15,,,,,,,,,,,,,,
16,32.8,35,21,999,55,0,50.1,3,14.8,,,,,
17,31.3,34,25,1007.4,59,0,50.1,15.7,27.8,,,,,
18,31.5,35,25,1006.2,66,0,43.5,20.9,33.5,,,,,
19,28.8,32,26,1006,73,0,50.1,12.4,18.3,,,,,
20,,,,,,,,,,,,,,
21,21,23,19,1014.7,90,0.25,38.1,10.2,14.8,,,,,
22,26,28,18,1015.7,,0,50.1,3.1,7.6,,,,,
23,28,30,22,1016.2,74,2.03,50.1,1.9,7.6,,,,,
24,28.5,31,23,1014.9,74,0,50.1,1.3,5.4,,,,,
25,24.8,27,24,1012.5,93,0,50.1,3.7,7.6,,,,,
26,28.5,32,23,1012.4,76,0,50.1,3.7,7.6,,,,,
27,28.5,30,24,1012.3,77,0,50.1,4.3,9.4,,,,,
28,29.5,32,24,1012,72,0,50.1,0,,,,,,
29,31.8,34,24,1010.3,60,0,50.1,1.5,7.6,,,,,
30,32.3,35,24,,62,0,50.1,1.9,7.6,,,,,
31,32,35,23,1006.8,68,0,50.1,2.8,7.6,,,,,
