Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.1,34.5,21.6,1008.5,72,0,8.7,5,9.4,,,,,
2,19.6,22,17.8,,79,0,12.2,19.4,29.4,,,,,
3,25.3,30.4,17.9,1017,57,0,13,5.7,11.1,,,,,
4,26.4,32,14.6,1016.2,52,0,13,8.1,22.2,,,,,
5,26.7,33,12.2,1013.9,57,0,13,3.5,14.8,,,,,
6,26.6,33,12.8,1013.1,60,0,13,5.2,11.1,,,,,
7,27.4,33.4,15.9,1013.1,59,0,11.9,5.7,9.4,,,,,
8,28.6,35.3,15,1012,56,0,12.9,7.8,18.3,,,,,
9,29,35.3,17.6,1011.4,61,0,8.9,5.4,11.1,,,,,
10,31.9,37.4,19.5,1011.4,58,0,6.9,8.3,11.1,,,,,
11,30.5,37.4,19.8,1010.5,62,0,5.5,7.8,14.8,,,,,
12,30.6,37,21.5,1008.7,65,0,5.3,7,13,,,,,
13,32.4,37,20,,64,0,4.8,7,13,,,,,
14,29.7,34,22,1008.2,74,0,5,6.1,9.4,,,,,
15,25.7,29,22.4,,86,0,5,7.8,13,,,,,
16,27.1,33.1,21.9,,84,14.99,9.7,9.3,11.1,,,,,
17,,,,,,,,,,,,,,
18,25.6,28.1,22,1010,90,45.72,11.9,10.6,16.5,,,,,
19,27.3,33,19,,76,0,12.6,8.5,16.5,,,,,
20,28.3,34.1,21.6,1009.4,82,19.81,11.4,10.7,14.8,,,,,
21,29.5,36.7,22,1009.6,77,8.38,12.4,7,16.5,,,,,
22,30.1,35,19.9,,73,0,12.2,7.6,14.8,,,,,
23,30.2,36,21.5,,70,0,12.6,8.1,16.5,,,,,
24,33.1,35.4,32,,60,0,12.6,9.6,16.5,,,,,
25,31.4,36,19.6,1008.9,66,0,13,9.1,16.5,,,,,
26,30.4,35,21.9,1007,71,0,13,8.3,18.3,,,,,
27,30.3,34.4,22,1008.5,74,0,13,6.7,9.4,,,,,
28,30,35,24.3,1008.5,79,0,10.9,4.8,9.4,,,,,
29,26.1,29.3,23.2,1008.9,87,,12.7,11.1,20.6,,,,,
30,29.5,34,23,1006.6,79,4.06,13,5.4,14.8,,,,,
