Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26,30.4,20,1012.1,69,0,15,13.5,25.9,,,,,
2,,,,,,,,,,,,,,
3,31.4,35.2,21.8,1011.5,69,0,15,0,,,,,,
4,30.1,34.8,23.4,1011.4,74,0,12.6,6.9,18.3,,,,,
5,29.9,34,23,1010.3,76,0,15,8,11.1,,,,,
6,29,33,22.6,1009.2,76,10.92,13.2,12.8,18.3,,,,,
7,,,,,,,,,,,,,,
8,31,33.8,25.5,1008.2,71,0,15,10.6,18.3,,,,,
9,30.7,34.2,23.9,1007.9,72,0,15,9.6,18.3,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,30.1,33.8,23.5,1011.4,72,0,15,6.5,9.4,,,,,
17,,,,,,,,,,,,,,
18,26.1,30.2,24,1011.0,88,6.1,13.2,6.5,9.4,,,,,
19,29.2,33.4,21.8,1010.2,75,2.03,11.7,3.7,7.6,,,,,
20,28,31.9,22.8,1009.3,84,16,12.6,6.1,14.8,,,,,
21,,,,,,,,,,,,,,
22,28.2,31.9,22.6,1009.6,83,3.05,13,4.6,11.1,,,,,
23,28.5,32.7,23,1009.4,76,0,13.2,11.1,18.3,,,,,
24,,,,,,,,,,,,,,
25,29.6,33,23.4,1008.8,75,0,15,11.1,14.8,,,,,
26,,,,,,,,,,,,,,
27,25.3,29.4,21.2,1012.7,80,4.06,14.5,17.6,22.2,,,,,
28,,,,,,,,,,,,,,
29,27.9,32.8,20.7,1009.9,78,0,15,6.5,14.8,,,,,
30,29,33,22.6,1011.4,75,0,13.2,8.9,18.3,,,,,
