Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,21.9,28.5,9.1,1015.2,56,0,39.4,5.6,14.8,,,,,
3,24.1,31.6,8.5,1018,63,0,50.1,0,,,,,,
4,26.2,32.2,14.3,,61,0,16.7,3.7,14.8,,,,,
5,27.1,34.4,13.5,1015.4,56,0,7.2,4.3,9.4,,,,,
6,,,,,,,,,,,,,,
7,26.2,34.2,13.6,1011.9,53,0,5.5,7.4,18.3,,,,,
8,26.8,33.3,13,1010.5,57,0,5.8,13.9,37,,,,,
9,,,,,,,,,,,,,,
10,12.7,16.2,11,1019.9,82,2.03,3.7,18.9,27.8,,,,,
11,14.4,17,10,1020.2,87,16,6,8.3,14.8,,,,,
12,,,,,,,,,,,,,,
13,23.6,30,13,1016.4,65,0,7.6,1.9,7.6,,,,,
14,24.8,28.8,15.4,1015.9,56,0,3.2,8.9,18.3,,,,,
15,26.7,33,15.2,,64,0,3.7,9.3,22.2,,,,,
16,28.2,33,15.6,1012.7,68,0,2.7,10.6,18.3,,,,,
17,21.1,23,19.3,1016.9,85,23.88,4.5,27.8,37,,,,,
18,15.2,17.8,12,1020.8,71,0,6.9,8.5,11.1,,,,,
19,20.6,25.7,13.2,1017.9,59,0,5.3,5.6,14.8,,,,,
20,24.1,30,13,1016.6,61,0,5.8,0,,,,,,
21,23.3,29.4,18,1017.4,71,0,3.7,9.3,14.8,,,,,
22,21.1,23,18,1017.9,86,0,6.3,7.4,11.1,,,,,
23,,,,,,,,,,,,,,
24,26.6,31,18.8,1015.5,69,0,5,0,,,,,,
25,27.9,33.4,17.2,1014.6,64,0,4.2,4.6,11.1,,,,,
26,29.3,35,18,1012.6,62,0,5,16.1,27.8,,,,,
27,29.9,35.5,20,1013.3,62,0,3.5,8.3,22.2,,,,,
28,30.3,36,20.8,1012.5,62,0,4,16.1,27.8,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
