Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.5,33.5,22.7,1009.1,72,0,12.4,8.3,14.8,,,,,
2,29.8,34.2,22.8,1009.0,72,0,11.4,13.3,22.2,,,,,
3,24.1,26.7,22.6,,98,5.08,9.5,11.1,27.8,,,,,
4,24.7,28.2,18.6,1012.8,78,8.89,12.4,14.6,22.2,,,,,
5,27.1,31.5,21.9,1011.1,77,0,12.4,20.6,,,,,,
6,28.6,33.5,21.8,1010.6,77,0,11.6,0,,,,,,
7,30.5,35.5,22.7,1009.8,68,0,12.4,2.6,11.1,,,,,
8,30.9,35.4,22.8,1009.8,70,0,12.6,4.6,11.1,,,,,
9,30,36.2,23.9,,76,0,11.4,0.9,11.1,,,,,
10,30.7,36.5,22.3,1008.8,70,1.02,11.6,1.5,11.1,,,,,
11,31.1,35.8,23.9,1007.3,67,0,12.4,8.7,18.3,,,,,
12,31.2,36.5,22.8,1009.7,64,0,12.6,5.4,11.1,,,,,
13,27.7,32.5,23.1,1010.6,81,41.91,10.6,9.1,27.8,46.5,,,,
14,29.6,34,22.2,,75,0,11.7,0.7,9.4,,,,,
15,29.6,35.5,22.9,1010.2,74,53.09,11.4,5.6,11.1,,,,,
16,28.9,32,22.1,,76,1.02,12.1,13.3,22.2,,,,,
17,29.3,35.4,22.9,,77,0,11.9,4.1,9.4,,,,,
18,27.1,30,23.1,,87,27.94,10.8,3.5,11.1,,,,,
19,28.9,33,22.9,,77,0,11.6,3.1,9.4,,,,,
20,28.9,33,22.4,,77,7.11,11.1,4.3,11.1,,,,,
21,27.9,31,22.7,1010.0,83,0.51,11.4,4.3,11.1,,,,,
22,28.9,33.5,22.9,1009.4,76,0,12.4,7.8,14.8,,,,,
23,28.4,32.5,22.7,1008.9,78,0,11.3,5.9,11.1,,,,,
24,28.6,32,22.8,,79,0,9.5,5.4,14.8,,,,,
25,20.9,27.7,18,1012.7,91,9.91,10.1,20.2,33.5,46.5,,,,
26,16.8,21.2,10.5,1016.1,71,4.06,12.6,24.6,27.8,46.5,,,,
27,19.6,24.2,12.2,1014.0,67,0,12.6,16.3,27.8,,,,,
28,21.8,26.8,14.8,1013.0,73,0,12.4,10.9,18.3,,,,,
29,21.4,23.3,18.9,1016.3,91,0,10.9,11.9,22.2,,,,,
30,24.1,28.5,16.8,1016.8,67,1.02,12.4,16.3,25.9,,,,,
