Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31.6,37,16.8,,43,0,9.3,6.1,13,,,,,
2,31.1,38.2,17.8,1011.9,47,0,8,4.6,9.4,,,,,
3,31.9,38,21.3,1013,49,0,6.6,3.3,11.1,,,,,
4,31.6,38.4,21.1,1011.5,51,0,5.3,4.4,13,,,,,
5,31.9,38.3,21.5,,53,0,7.2,11.1,18.3,,,,,
6,32.1,37.9,21.4,1010.4,51,0,6.4,13,25.9,,,,,
7,31.7,37.5,22.3,1009.6,53,0,7.1,20.7,31.3,,,,,
8,31.9,38,22.1,1010.9,49,0,7.4,19.8,31.3,,,,,
9,32.5,38.4,23.5,1012.5,50,0,7.2,14.8,22.2,,,,,
10,32.2,38.4,22.1,,52,0,6.6,6.3,13,,,,,
11,30.8,37,22,,56,0,7.4,5.7,14.8,,,,,
12,32.3,38.6,23,1009.1,52,0,5.8,8.5,14.8,,,,,
13,31.6,36.5,23.2,1011.1,53,0,6.9,15,25.9,,,,,
14,31.8,39.2,21.7,1010.5,50,0,6.1,10.4,14.8,,,,,
15,32.4,39.5,22.2,1009.9,41,0,7.7,19.6,33.5,,,,,
16,32.2,38.4,22,,48,0,7.2,17,27.8,,,,,
17,33.2,39.5,22.5,1009,47,0,7.7,20.7,29.4,,,,,
18,31.3,35.7,23.7,1008.5,56,0,7.6,20.2,33.5,46.5,,,,
19,32.4,37.7,23.4,1007.9,51,0,8,20.7,29.4,46.5,,,,
20,25.4,33.2,17,1007.7,67,1.02,9,12.2,18.3,,,,,
21,26.7,33.7,22,1008.3,79,1.02,6.1,10.9,25.9,,,,,
22,23.1,25.8,20,1013.5,87,44.96,11.3,12.8,18.3,,,,,
23,27.6,32.7,21,1011.5,71,0,10.9,5,11.1,,,,,
24,31.2,37,21.7,1007.8,54,0,11.6,15.2,22.2,,,,,
25,32.4,37.7,23.4,1009.1,53,0,10.8,9.8,22.2,,,,,
26,23.3,27.4,19,1019.3,41,78.99,12.4,22,27.8,50,,,,
27,25.8,31.4,16.8,1015.8,42,0,12.4,8.5,18.3,,,,,
28,28.7,34.2,17.6,1011.3,47,0,11.6,7.6,14.8,,,,,
29,31.3,36.7,21,1011.4,52,0,11.9,11.3,22.2,,,,,
30,31,36,22.3,1009.3,60,0,10.9,20.4,29.4,,,,,
