Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.9,26.6,21.6,1010.1,92,7.11,13,10.6,25.9,44.6,,,,
2,21.8,27.2,17,1013.2,76,0,13,21.9,29.4,48.2,,,,
3,23.1,29,17,1010.8,77,0,22.2,10.7,27.8,,,,,
4,23.4,28.8,19.8,1012.1,81,0,15.9,17.4,33.5,,,,,
5,24.2,30.2,19.6,1012.5,75,0,15.4,13.5,22.2,,,,,
6,26,32,20.2,1008.7,76,0,14.3,11.9,25.9,,,,,
7,26.7,32.5,21.6,1007.9,78,0,17.1,13,29.4,48.2,,,,
8,22.6,32.5,17,1011.8,90,18.03,11.7,20,46.5,64.8,,,,
9,19.2,26,14.8,1017.1,69,0,15.1,26.9,37,59.4,,,,
10,21.9,28.2,17,1010,80,0,14.6,12.4,27.8,40.7,,,,
11,24.5,30,19,1008.6,81,0,11.9,12,20.6,,,,,
12,25.3,30,21,1008.1,83,0,15,15.6,29.4,,,,,
13,23.2,31,19.8,1012,82,24.89,12.4,18.3,31.3,46.5,,,,
14,23,28.3,15.2,1012.2,69,0,13.8,10.2,18.3,,,,,
15,23,28.3,19,1007.7,80,0,15.1,21.5,40.7,59.4,,,,
16,24.3,28.4,21.6,1009.2,82,0,12.4,5.4,11.1,,,,,
17,23.1,28.4,20,1010.7,78,0,15.9,10.2,18.3,,,,,
18,22.8,28.4,20,1008.4,87,0,14.6,13.9,27.8,,,,,
19,23,27,21,1008.9,96,4.06,8,11.3,18.3,,,,,
20,23.2,25,21.8,1008.7,98,0,9.8,5.7,16.5,,,,,
21,25.2,29,21.8,1005.8,90,0,14,20,29.4,,,,,
22,25.1,30.4,23.8,1007.2,91,0,14.2,18,24.1,,,,,
23,22.6,29.6,20.6,1010.9,95,7.11,13.7,13.9,25.9,,,,,
24,24.3,29.1,20.8,1009.7,86,10.92,13.2,16.3,27.8,,,,,
25,24,30,20.8,1008.2,90,0,13,14.8,27.8,,,,,
26,24.8,30.4,22.6,1008.2,90,0,15.3,16.9,33.5,,,,,
27,21.3,30.4,17,1014.8,84,21.08,13.5,27.6,37,59.4,,,,
28,17.6,24.8,15,1020,75,0,19.8,31.3,42.4,63,,,,
29,16.8,20.6,14,1021.3,78,0,16.3,25.4,38.9,51.9,,,,
30,18.9,23,14.4,1017.9,81,0,14.5,11.5,18.3,,,,,
