Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.3,27,22,1017.3,75,0,,10.2,18.3,,,,,
2,24.4,26,22,1017.1,75,0.51,10.1,6.7,11.1,,,,,
3,24,28,21,1017.7,78,1.02,10.1,15.4,24.1,,,,,
4,24.4,26,21,1018.4,77,8.89,10.6,8.1,20.6,,,,,
5,25.2,28,22,1017.4,72,1.02,11.3,11.3,24.1,,,,,
6,25,27,21,1017.1,76,2.03,10.6,8,24.1,,,,,
7,25,26,21,1016.2,74,5.08,9.5,6.5,18.3,,,,,
8,25.2,27,23,1017,71,0.25,9.5,8.1,14.8,,,,,
9,23.3,27,21,1017.2,78,0,10.1,6.7,18.3,,,,,
10,23.8,26,22,1017.2,81,1.02,10.6,3.3,9.4,,,,,
11,24.5,28,21,1017.8,77,0,10.6,5.6,16.5,,,,,
12,24.6,28,18,1018.1,77,0,12.6,3.7,11.1,,,,,
13,26,29,18,1018.6,67,0,10.6,9.3,16.5,,,,,
14,24.8,29,22,1019.1,71,0,13.8,5.6,13,,,,,
15,25.2,28,21,1017.7,65,0,10.6,10.7,14.8,,,,,
16,24.2,28,19,1017.1,78,0,15,2.2,11.1,,,,,
17,26.2,35,20,1017.1,75,0,12.6,5.2,16.5,,,,,
18,25.8,28,25,1016.7,75,0,9.5,13,18.3,,,,,
19,25.8,29,24,1017.4,73,0,11.3,4.8,14.8,,,,,
20,25.8,28,24,1017.1,74,1.02,12.2,12.2,14.8,,,,,
21,25.8,29,23,1018,74,0,15,2.4,9.4,,,,,
22,25.7,28,24,1018.9,74,0,11.3,8.7,20.6,,,,,
23,26.3,29,24,1019,74,0,11.9,8.5,25.9,,,,,
24,25.8,28,25,1017.8,75,0,,16.1,24.1,,,,,
25,26.2,29,24,1017.2,72,0,10.6,9.3,24.1,,,,,
26,25.8,28,25,1017.2,78,0,11.3,8.1,14.8,,,,,
27,25.3,28,23,1017.6,77,0,10.6,8.7,18.3,,,,,
28,25.6,27,24,1019.1,74,0,10.6,8.9,18.3,,,,,
29,25.3,28,24,1019.3,73,0,11.3,10.6,20.6,,,,,
30,25,27,22,1018,77,2.03,10.6,5.7,18.3,,,,,
31,25,27,22,1016.9,73,0,9.5,11.1,18.3,,,,,
