Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31,36,23,1013,52,0,15.8,7,18.3,,,,,
2,32.6,37,21,1012.7,47,0,17.9,8.3,11.1,,,,,
3,29.7,35,23.7,1012.9,57,0,14,8.9,18.3,,,,,
4,26.7,35,22,1012.5,69,11.94,15.9,5,14.8,,,,,
5,27.4,33,23,1013.1,73,34.04,13.2,1.9,14.8,,,,,
6,30.2,33.7,24.6,1013.3,62,0.51,16.6,7.2,13,,,,,
7,31.8,36,25,,54,0,15.4,1.1,7.2,,,,,
8,32,36,26,1012,57,0,20,7,14.8,,,,,
9,31.8,36.2,26,1011.9,55,0,15.3,6.3,18.3,,,,,
10,31.6,35,26,1013,54,0,16.7,10.4,18.3,,,,,
11,30.2,36.6,22.1,1011.3,62,0,18.5,7.6,18.3,,,,,
12,28,37,22,1012.1,67,0,16.6,5.2,14.8,,,,,
13,26.9,32.4,22,1011.7,68,22.1,18,4.3,18.3,,,,,
14,30.2,33.9,23.5,1011.1,58,0,16.6,7.2,13,,,,,
15,26.6,33,24,1011.7,81,2.03,7.6,2.4,9.4,,,,,
16,26.7,33,22,1012.9,76,6.1,11.6,5.2,9.1,,,,,
17,30.1,38.4,22.2,1012.1,58,0,18.5,7.4,18.3,,,,,
18,31.4,35,23.7,1012.8,56,0,15.6,6.9,18.3,,,,,
19,30.9,35,24,1014.7,55,0,16.9,4.1,9.4,,,,,
20,30.6,35,21,1014.9,54,0,18.3,12.2,18.3,,,,,
21,27.8,35,19,1015.3,61,0,18.7,5.9,18.3,,,,,
22,28,35,23.3,1016.3,63,4.06,16.7,11.1,21.9,,,,,
23,24.7,31,21.5,1014.6,84,0,10.1,1.9,10.7,,,,,
24,25.1,29,18,1013.3,84,55.12,8.4,3.1,11.1,,,,,
25,24,31,22,1013.5,89,7.11,10.9,5.4,16.5,,,,,
26,24.8,28,22.8,1015.2,87,21.08,6.9,6.3,13,,,,,
27,24.9,29.1,22,1016,84,0,9.7,5,18.3,,,,,
28,25.8,30,20,1015.7,83,6.1,10.5,2.8,14.8,,,,,
