Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.8,32,26,,80,0,10,7.8,18.3,,,,,
2,29.8,33,23,,72,0,10,8.5,13,,,,,
3,30.3,33,24,,71,0,10,8.9,14.8,,,,,
4,30.2,33,23,,71,0,10,8.7,22.2,,,,,
5,30.7,33,23,,68,0,10,8.9,20.6,,,,,
6,29.5,32,25,,76,0,10,6.7,11.1,,,,,
7,29.8,34,23,,69,0,10,3.7,11.1,,,,,
8,29.6,34,24,,75,0,10,7.2,13,,,,,
9,25.5,29,23,,90,,8.7,5.2,9.4,,,,,
10,28.6,32,24,,76,0,9.7,6.1,13,,,,,
11,29.9,33,23,,68,0,10,9.1,18.3,,,,,
12,29.3,34,23,,74,,9.7,6.9,24.1,,,,,
13,28.9,34,23,,76,0,10,5.4,13,,,,,
14,29.4,32,24,,75,0,10,4.6,9.4,,,,,
15,28.4,32,25,,81,0,10,6.3,11.1,,,,,
16,29,33,24,,75,,9.3,7.2,13,,,,,
17,29.3,32,25,,71,,9.7,10,33.5,,,,,
18,28.6,31,24,,81,0,10,6.9,14.8,,,,,
19,30.1,33,24,,73,0,10,4.6,11.1,,,,,
20,25.5,27,24,,93,,9.2,3.5,9.4,,,,,
21,29,32,25,,76,0,10,5.6,13,,,,,
22,28.7,32,25,,80,,9.8,7.8,13,,,,,
23,30.8,34,24,,70,0,10,6.9,14.8,,,,,
24,27.5,31,24,,85,,9.3,5,13,,,,,
25,29.3,32,24,,75,0,10,6.9,16.5,,,,,
26,29.3,32,24,,76,,9.3,7,13,,,,,
27,27.8,33,24,,83,,9.2,7,18.3,,,,,
28,29.7,33,24,,76,0,10,8.5,14.8,,,,,
29,29.5,32,23,,75,0,10,5.7,11.1,,,,,
30,28.2,32,23,,80,0,10,8.1,18.3,,,,,
