Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.3,28,24,1016.1,85,7.11,13.5,14.4,25.9,,,,,
2,25.9,29,24,1016.2,85,9.91,13.5,15.7,22.2,,,,,
3,25.8,29,23,1016.6,83,2.03,13.2,13,22.2,,,,,
4,24.3,28.5,22,1016.7,91,0,13,7.4,14.8,,,,,
5,26.4,28,24,1016.4,82,0.51,13.5,14.1,25.9,,,,,
6,26.4,28.2,25,1015.7,78,0,13.4,13.9,18.3,,,,,
7,25.6,28,22,1016.7,84,6.1,14,12.4,18.3,,,,,
8,26.3,28,24,1016.3,76,0,14,10.9,18.3,,,,,
9,26.5,29,25,1016.3,73,0,14.3,14.3,22.2,,,,,
10,26.4,29,24,1016.2,73,0,13.4,11.5,22.2,,,,,
11,26.1,28,23,1016.2,76,0,13.7,11.9,18.3,,,,,
12,24.9,28,22.6,1017.9,82,0,13.8,4.4,14.8,,,,,
13,23.6,28,21,1018.3,93,2.03,8.5,9.4,22.2,,,,,
14,22.4,26,20,1017.5,91,38.1,12.9,3.1,11.1,,,,,
15,24.1,27.2,20.7,1017.2,84,1.02,13.5,3.3,14.8,,,,,
16,25,27.9,23,1016.1,80,0,12.4,5.9,18.3,,,,,
17,24,27.9,22,1015.2,94,53.09,11.6,5.2,20.6,,,,,
18,25.1,27,21.8,1014.8,83,0,13.8,6.1,11.1,,,,,
19,25.1,29,20.2,1015.3,81,0,13.7,2.8,11.1,,,,,
20,25.7,30,19,1015.2,77,0,13.8,1.7,7.6,,,,,
21,25.2,30,20,1016.5,77,0,13,6.7,14.8,,,,,
22,25.4,28.4,20.2,1017,86,29.97,13.7,6.1,14.8,,,,,
23,26.3,29,24.4,1016.5,79,0,13.8,11.9,14.8,,,,,
24,25.4,28,22,1016.3,83,0.51,13.2,13.3,25.9,,,,,
25,24.7,29,20,1017.6,87,0.25,14,3.1,14.8,,,,,
26,25.3,29,23,1018.7,87,2.03,12.7,7.8,18.3,,,,,
27,26.4,30,24,1018.9,75,0,13.8,11.7,14.8,,,,,
28,23.7,29.5,21,1018.9,86,6.1,13,2.2,14.8,,,,,
29,24.4,29.5,19.4,1019.5,83,2.03,14.3,6.1,18.3,,,,,
30,26.1,28,24,1019.3,72,0,13.8,6.5,18.3,,,,,
31,25.9,28,24,1019.1,73,0,14.2,5.6,11.1,,,,,
