Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.9,29.7,17.6,,52,0,16.7,16.1,37,,,,,
2,23.5,32.6,16.1,,45,0,20,5,7.6,,,,,
3,23.2,32.7,18.1,,47,3.05,17.1,11.7,14.8,,,,,
4,23,28.2,17.3,,53,0,20,12.6,18.3,,,,,
5,18.7,27.4,14.5,,53,0,20,25,33.5,,,,,
6,17.4,22.8,12.4,,50,0,20,11.7,16.5,,,,,
7,17.6,25.5,11.4,,50,0,20,13,16.5,,,,,
8,18.4,25.5,12.3,,52,0,20,14.4,22.2,,,,,
9,19.7,25.1,14.4,,46,0,20,18,24.1,,,,,
10,20.7,27,15.5,,48,0,20,13.5,24.1,,,,,
11,21.8,29.6,15.2,,41,0,20,12.6,18.3,,,,,
12,21.8,29.6,16,,44,0,20,14.4,22.2,,,,,
13,21.8,27.2,16,,41,0,20,16.7,24.1,,,,,
14,21.3,27.2,16.4,,44,0,20,14.8,18.3,,,,,
15,21.9,28.4,15.1,,46,0,20,14.4,20.6,,,,,
16,23.8,31.5,16,,35,0,16.6,10.7,20.6,,,,,
17,26.1,32.2,20.4,,38,0,20,13.3,20.6,,,,,
18,23.8,31.3,18.2,,51,0,20,14.4,22.2,,,,,
19,24,30.1,18.2,,42,0,20,15.7,20.6,,,,,
20,,,,,,,,,,,,,,
21,25.3,31,19,,40,0,20,12,22.2,,,,,
22,22.9,31,17.4,,50,0.76,20,12.8,18.3,,,,,
23,22.2,28.1,16.5,,37,0,20,18.5,22.2,,,,,
24,21.6,27.8,15.5,,40,0,20,17.6,24.1,,,,,
25,23.3,30.2,16.6,,37,0,20,11.5,18.3,,,,,
26,24.2,30.4,19,,40,0,20,11.5,14.8,,,,,
27,25.6,31.3,20.5,,36,0,20,10.6,18.3,,,,,
28,25.5,31.8,20.7,,42,0,20,15.6,18.3,,,,,
29,25.7,31.2,20.7,,47,0,20,13.3,18.3,,,,,
30,27.3,33.1,21.4,,43,0,20,11.5,18.3,,,,,
