Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.8,31,21,,74,0,10,16.5,22.2,,,,,
2,24.1,30,18,,77,0,10,11.3,18.3,,,,,
3,24.3,30,20,,81,0,10,12.8,20.6,,,,,
4,23.4,30,20,,86,,9.5,9.3,18.3,,,,,
5,22.9,30,20,,83,,9.5,13,31.7,48.2,,,,
6,18.8,25,13,,78,0,9.2,8.5,14.8,,,,,
7,19.9,27,12,,71,0,9.2,7.8,11.1,,,,,
8,20.9,28,14,,74,0,9.5,9.8,16.5,,,,,
9,21.1,29,15,,76,,6.9,9.6,20.6,,,,,
10,19.7,27,13,,77,0,7.7,7.4,13,,,,,
11,19.8,29,12,,69,0,7.9,7.8,14.8,,,,,
12,21.4,31,13,,65,0,10,7.8,11.1,,,,,
13,23.5,31,17,,65,0,10,10,16.5,29.4,,,,
14,22.1,28,17,,77,0,9.8,11.5,16.5,,,,,
15,19.6,31,12,,72,0,7.9,9.6,16.5,,,,,
16,23.1,35,16,,72,,10,13.3,24.1,,,,,
17,21.1,24,19,,86,,9.8,17,29.4,50,,,,
18,18.9,24,15,,79,,10,12.6,27.8,,,,,
19,18.7,30,12,,75,0,9.5,11.7,24.1,,,,,
20,23.8,33,18,,73,,9.8,21.9,33.5,50,,,,
21,21.1,23,19,,92,,9.5,10.7,22.2,,,,,
22,21.1,27,17,,83,0,10,10.9,18.3,,,,,
23,20.1,23,18,,89,,7.9,12.2,18.3,,,,,
24,20.7,29,16,,83,0,9.7,11.5,18.3,,,,,
25,24.1,33,18,,79,0,10,15.4,24.1,,,,,
26,22.3,26,,,91,,10,13.1,44.6,61.1,,,,
27,21.4,26,19,,88,,9,11.1,18.3,,,,,
28,19.7,23,18,,90,,9.8,8.1,14.8,,,,,
29,17.9,23,15,,83,0,9.3,14.3,20.6,,,,,
30,19.1,25,17,,85,,9.7,15,22.2,,,,,
31,17.6,25,11,,79,0,8,9.1,16.5,,,,,
