Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.1,28,17,,64,,8.7,6.1,11.1,,,,,
2,21.1,26,18,,81,,8.5,6.9,11.1,,,,,
3,22.7,26,17,,76,,6.4,10.2,16.5,,,,,
4,24.4,29,18,,66,,8.7,8.5,13,,,,,
5,23.3,26,19,,71,0,10,10.6,16.5,,,,,
6,20.1,21,18,,87,,5.6,9.8,13,,,,,
7,21.3,26,19,,85,,8.5,10,14.8,,,,,
8,22.9,27,19,,73,,8,11.9,20.6,31.7,,,,
9,19.8,23,17,,81,,6.4,6.3,9.4,,,,,
10,20.6,24,17,,79,,8.2,5.9,9.4,,,,,
11,21.8,25,17,,71,0,9.7,7.6,13,,,,,
12,23.1,27,18,,71,0,8.4,5.7,13,,,,,
13,22.9,27,20,,76,0,10,6.5,9.4,,,,,
14,25.7,29,19,,52,0,10,8.5,13,,,,,
15,25.2,30,16,,55,0,10,7.4,13,,,,,
16,24.4,29,18,,67,,9.5,6.1,11.1,,,,,
17,22.2,28,17,,72,,8.7,10.6,31.7,55.4,,,,
18,22.6,29,17,,71,,8.9,9.3,14.8,,,,,
19,23.8,29,18,,70,,9.2,9.4,14.8,,,,,
20,22.8,28,17,,73,0,8.4,7.2,22.2,,,,,
21,25.4,29,20,,62,0,10,9.1,16.5,,,,,
22,23.6,27,19,,72,,8.7,10.2,18.3,,,,,
23,20.3,22,19,,86,,8,6.7,13,,,,,
24,17.9,19,17,,93,,1.6,11.1,16.5,,,,,
25,18.1,19,16,,89,,8.5,8,11.1,,,,,
26,21.4,24,16,,73,0,9.8,8.3,14.8,,,,,
27,20.4,24,18,,79,,7.7,6.9,13,,,,,
28,21.3,25,16,,76,,9,9.1,16.5,,,,,
29,22.9,26,17,,64,0,9.8,9.3,14.8,,,,,
30,23.6,27,16,,63,0,10,6.1,11.1,,,,,
31,24.6,29,17,,63,,9.7,8.1,14.8,,,,,
