Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.3,33,15,,39,0,10.1,10.6,22.2,,,,,
2,27.8,33,15,,35,0,10,14.4,24.1,,,,,
3,27.8,33,16,,32,0,10,14.8,27.8,,,,,
4,28.1,33,20,,34,0,10.5,13.9,27.8,,,,,
5,27.4,33,16,,34,0,10,11.5,22.2,,,,,
6,26.6,33,12,,36,0,10,7.6,18.3,,,,,
7,27.3,33,14,,36,0,10,12,18.3,,,,,
8,25.8,33,16,,32,0,10,10.2,37,,,,,
9,23.9,33,10,,39,0,10,7.4,14.8,,,,,
10,27.2,34,12,,35,0,10,6.9,13,,,,,
11,29.7,33,23,,30,0,10,7.6,16.5,,,,,
12,28.6,34,14,,31,0,10,10.6,20.6,,,,,
13,26.7,33,12,,37,0,10.6,10,22.2,,,,,
14,25.4,32,15,,38,0,10,10.7,18.3,,,,,
15,25.6,33,14,,37,0,10,8.5,18.3,,,,,
16,28.1,33,16,,31,0,10,12.4,27.8,,,,,
17,27.9,33,14,,34,0,10,6.9,18.3,,,,,
18,28.2,33,15,,35,0,10,15,27.8,,,,,
19,28.6,34,13,,33,0,10,12.6,22.2,,,,,
20,31.6,35,24,,30,0,10.5,10.6,18.3,,,,,
21,29.8,34,18,,28,0,10,11.7,25.9,,,,,
22,28.7,36,13,,28,0,10,5.7,14.8,,,,,
23,28.9,36,15,,31,0,10,5.4,9.4,,,,,
24,30.3,37,17,,31,0,10.5,8.1,18.3,,,,,
25,29.5,35,21,,38,0,10.1,8.3,18.3,,,,,
26,28.2,33,21,,48,0,10.5,15.7,29.4,,,,,
27,29.4,35,20,,42,0,10.5,7,18.3,,,,,
28,30.1,35,22,,42,0,11.1,9.1,18.3,,,,,
29,27.4,32,19,,59,0,10.8,8,16.5,,,,,
30,29.9,35,19,,46,0,10.5,14.3,29.4,,,,,
31,30.4,35,19,,39,0,10.6,9.8,24.1,,,,,
