Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.4,22,12,1024.8,77,0,18.2,7.2,18.3,,,,,
2,17.1,21,13,1020.1,76,0,18.8,6.5,18.3,,,,,
3,17.6,23,13,1021.3,71,0,18.5,10,18.3,,,,,
4,17.9,24,13,1023,66,0,18.2,6.3,18.3,,,,,
5,17.6,22,14,1022.2,70,0,17.5,9.8,22.2,,,,,
6,17.8,23,13,1022.6,73,0,18.2,5.6,18.3,,,,,
7,17.4,23,12,1018.6,72,0,18.8,7.4,14.8,,,,,
8,18.2,25,12,1016.6,65,0,20,6.5,14.8,,,,,
9,18.3,23,13,1019,59,0,18.3,2.2,7.6,,,,,
10,20,26,16,1017.8,59,0,18.2,3.5,11.1,,,,,
11,18.7,27,13,1018.1,60,0,18.3,1.9,11.1,,,,,
12,16.2,19,13,1019.2,77,0,17.4,0,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,16.1,23,9,1019.5,51,0,18.2,0,,,,,,
17,14.8,26,7,1019.8,61,0,19.3,1.7,11.1,,,,,
18,20,28,14,1020,66,0,18.8,5.4,14.8,,,,,
19,19.4,27,13,1019.6,62,0,18.5,1.1,7.6,,,,,
20,19.6,25,14,1020.3,55,0,18.5,8.9,18.3,,,,,
21,18.6,25,12,1019.3,60,0,18.8,5,13,,,,,
22,19.9,27,14,1016.2,58,0,18.2,1.9,14.8,,,,,
23,20,25,15,1016.3,70,0,19.2,1.5,9.4,,,,,
24,22.7,29,17,1017.2,53,0,14.5,0,,,,,,
25,18.8,25,15,1016.9,60,0,12.1,6.9,14.8,,,,,
26,17.6,24,10,1017.8,52,0,19.8,1.1,9.4,,,,,
27,18.2,28,11,1016.9,51,0,20,0,,,,,,
28,18.6,26,12,1013.1,56,0,17.2,1.9,13,,,,,
29,21.4,31,15,1012.8,45,0,19,0,,,,,,
30,23.4,31,16,1012.8,56,0,11.4,0.9,7.6,,,,,
31,24,32,17,1011.4,52,0,4.7,1.1,9.4,,,,,
