Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.7,32,23,,77,6.1,12.1,7.2,18.3,,,,,
2,27.7,33,23,1010.2,71,0,12.6,12,25.9,,,,,
3,27.5,32.6,23.9,,71,0,11.7,13.7,27.8,,,,,
4,27.6,33,24.9,1009,72,,12.2,11.9,27.8,,,,,
5,25.3,32.5,24,,85,5.59,9.8,10.2,25.9,46.5,,,,
6,26.2,31.6,23,1010.7,76,0.51,12.6,9.3,18.3,,,,,
7,27.6,32.2,24,1010,69,0,12.2,10.6,25.9,,,,,
8,27.4,32,23,,69,0,12.2,14.4,29.4,,,,,
9,27.7,32,23.6,1010.7,68,0,12.1,15.7,31.3,,,,,
10,27.6,31,24,1011.2,70,,11.9,13.7,22.2,,,,,
11,27.6,32,24,1011.2,67,0,12.2,18.5,33.5,,,,,
12,27,32,24,1011.5,69,0,12.7,16.1,35.2,,,,,
13,26.8,31,23,,69,0,11.7,16.7,27.8,,,,,
14,26.8,31,23.6,1012.2,66,0,12.4,17,29.4,,,,,
15,27.7,32,24,1011.5,66,0,12.1,14.3,35.2,,,,,
16,28,32,24,1011.3,63,0,12.1,16.1,29.4,,,,,
17,28,33,24,1011.9,63,0,12.1,11.9,25.9,,,,,
18,28.3,33.1,25,1011.7,63,0,12.1,12.6,24.1,,,,,
19,28.1,33,25,1011.9,66,0,12.6,13.9,22.2,,,,,
20,26.7,32.6,23,1012.7,74,0,11.9,8,25.9,,,,,
21,25.8,29.9,23,1013.9,81,36.07,11.3,5.7,16.5,,,,,
22,27.4,32,24,1012.5,68,0,12.6,7,27.8,,,,,
23,27.9,32.1,24,1012.2,64,0,12.1,12,27.8,,,,,
24,27.9,32,24,,64,0,12.2,11.9,22.2,,,,,
25,28.2,35.8,24,,64,0,10.9,15.2,29.4,,,,,
26,28.6,33,24,,65,0,11.9,17.8,31.3,,,,,
27,27.4,33.1,23.8,,64,0,11.7,16.1,25.9,,,,,
28,27.8,32,24.8,1010.5,61,0,12.2,15.4,27.8,,,,,
29,27,32,23,,73,0.76,11.7,8.5,22.2,,,,,
30,25.8,29,24,,83,0,10.8,2.6,14.8,,,,,
31,26.4,30,24,1011.3,77,1.02,12.6,11.7,40.7,,,,,
