Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,18.6,23,14,,74,,9.3,22.2,37,74.1,,,,
2,16.4,18,15,,82,,10.5,22.6,37,55.4,,,,
3,17.6,20,16,,84,,8.7,17.8,37,,,,,
4,20.4,26,17,,75,0,9.8,7.2,14.8,,,,,
5,22.9,29,17,,66,0,10.3,11.9,22.2,,,,,
6,26,32,21,,63,0,10,15.9,22.2,,,,,
7,28.8,32,23,,53,0,10,19.1,27.8,,,,,
8,25.9,32,21,,65,0,10.3,15.2,29.4,37,,,,
9,25.7,31,22,,58,0,10.3,17.6,29.4,,,,,
10,19.4,22,18,,90,,8.4,15.9,33.5,40.7,,,,
11,15.7,18,14,,82,,9.8,27,37,55.4,,,,
12,17.4,24,13,,65,0,10.8,20.9,40.7,,,,,
13,18.7,25,14,,66,0,10.3,18.7,29.4,37,,,,
14,19.6,26,13,,63,0,10,21.7,33.5,37,,,,
15,19.6,29,13,,58,0,10,18.5,25.9,44.3,,,,
16,21.8,26,18,,66,0,10.8,17,37,55.4,,,,
17,20.7,25,17,,61,0,10,16.3,37,55.4,,,,
18,20.7,27,12,,61,0,10,7.2,18.3,,,,,
19,22.3,30,15,,61,0,10.1,13.9,25.9,,,,,
20,18.5,21,15,,88,,10.6,13.9,18.3,,,,,
21,,,,,,,,,,,,,,
22,18.5,20,18,,71,0,10.9,15.4,22.2,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,22.2,25,16,,61,0,10.8,19.6,27.8,,,,,
26,,,,,,,,,,,,,,
27,20.5,22,18,,75,,9.8,13,18.3,,,,,
28,,,,,,,,,,,,,,
29,20.5,28,18,,87,0,10,13.9,22.2,,,,,
30,22.6,26,20,,84,0,10.5,16.7,37,74.1,,,,
31,18.6,19,18,,96,,7.6,12.2,25.9,,,,,
