Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.2,35,19,1007.5,70,3.05,12.4,20.4,37,,,,,
2,19.4,27.6,15,1017.8,66,25.91,20,23.9,48.2,,,,,
3,20.3,31,11.4,1016.4,57,0,20,18.7,29.4,,,,,
4,24.4,33.2,18.2,1013,49,0,20,22.2,40.7,,,,,
5,22.8,25.6,18.4,1011,66,0,15.9,27.2,37,,,,,
6,21.8,29.3,16,1011.8,76,41.91,12.1,15.4,29.4,,,,,
7,25.2,32.5,20.5,1009,68,0,20,15.2,22.2,,,,,
8,24,32.5,18.4,1009.1,65,0,16.6,12.2,37,,,,,
9,25.1,32,19.7,1010,56,18.03,20,12,18.3,,,,,
10,28.4,35.3,22.5,1009.2,51,0,20,12.2,22.2,,,,,
11,28.6,36.2,23.3,1006.8,52,0,20,15,22.2,,,,,
12,30.4,35.2,24.8,1006.4,53,0,20,11.9,37,,,,,
13,27.4,35.2,21.4,1007.3,62,0,16.4,15.2,22.2,,,,,
14,25,35,21,1011.5,69,17.02,20,19.1,29.4,,,,,
15,26.6,34,23.5,1009.6,65,0,18.2,15.6,22.2,,,,,
16,26.1,35,22.6,1010.1,66,0,20,17.4,29.4,,,,,
17,26.1,32.3,22.2,1008.9,71,0,20,12.2,22.2,,,,,
18,27.3,34.7,23.6,1007.4,62,0,20,17.8,22.2,,,,,
19,21.2,22.3,20,1010.1,98,41.91,7.2,11.1,22.2,,,,,
20,21.2,26.6,19,1012.4,87,26.92,16.6,14.8,22.2,,,,,
21,22.6,26.6,20,1011.4,87,0,20,14.8,22.2,,,,,
22,23.5,30.6,18.2,1011.9,69,0,20,13.5,22.2,,,,,
23,24.9,30.6,19,1009,60,0,20,15.2,29.4,,,,,
24,22.1,26.5,20,1010,89,16,12.2,19.1,27.8,,,,,
25,22,29.4,18,1009.1,82,0,15.1,14.1,22.2,,,,,
26,26.7,31,22.6,1008.6,65,0,20,8.9,22.2,,,,,
27,24.4,31.3,21,1012.7,78,4.06,15.6,7.6,18.3,,,,,
28,24.4,29.2,21.5,1012.4,78,1.02,20,8,33.5,,,,,
29,24.1,28.8,21,1010.6,76,0,15.8,7.4,18.3,,,,,
30,26.2,31,21,1006.9,65,0,20,3.1,11.1,,,,,
31,27.6,34,22,1008.2,58,0,20,8.7,18.3,,,,,
