Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.4,28,18.8,1017.8,79,0,20,7,11.1,,,,,
2,23,27.6,18,1017.8,83,0.25,20,7,14.8,,,,,
3,21.9,27.8,20,1020.4,87,10.67,16.7,20.7,33.5,,,,,
4,22.1,25,20,1020.2,82,2.29,19,9.6,16.5,,,,,
5,23.7,27.5,19.2,1017.3,77,0,20,6.5,16.5,,,,,
6,23,27.5,18.4,1016.5,82,0.76,19.3,4.6,13,,,,,
7,21,27,19.5,1017.8,96,0,11.9,3.3,14.8,,,,,
8,20.3,24,18.2,1018.8,95,66.04,15.1,5.4,14.8,,,,,
9,20.4,24,18,1018.4,97,7.87,17.2,3.5,9.4,,,,,
10,21.1,24.5,18.7,1018.6,89,34.04,12.7,12.2,29.4,,,,,
11,22.2,25,19,1019.3,72,2.03,20,18,24.1,,,,,
12,22.1,27,16.8,1019.7,75,0,20,3.3,13,,,,,
13,21.9,26.8,16.2,1018.5,68,0,20,3,7.6,,,,,
14,20.8,25.5,16.8,1018,78,0,20,4.3,11.1,,,,,
15,21.2,26.5,16,1017.9,78,0,20,3.1,11.1,,,,,
16,21.8,27,17,1019,88,1.02,18.8,3,9.4,,,,,
17,23.4,27.2,20.3,1018.6,87,7.11,20,5.7,14.8,,,,,
18,24.3,27.4,21,1017.4,73,0,18.5,8.5,11.1,,,,,
19,21.6,27,19.4,1017.1,96,0,14.3,6.5,22.2,,,,,
20,21.9,27,18.6,1014.7,87,3.05,17.2,4.8,14.8,,,,,
21,23.2,27.6,19,1011.4,81,0,20,10.6,22.2,,,,,
22,23.6,28,22.5,1014.6,77,0,20,12.4,18.3,,,,,
23,21.9,25.5,17.2,1017.6,77,0.51,20,8,14.8,,,,,
24,22,25.5,20,1016.1,93,2.03,17.5,4.8,14.8,,,,,
25,24.9,27,23.4,1014.6,88,0,20,9.3,16.5,,,,,
26,24,27.2,22.4,1014.8,92,3.05,16.6,4.6,11.1,,,,,
27,23.1,26.2,21.3,1013.5,96,1.02,16.1,4.6,14.8,,,,,
28,25.3,28.5,22,1013.4,83,0,20,9.6,25.9,,,,,
29,23.6,28.5,22.4,1013.1,92,8.89,16.6,9.3,14.8,,,,,
30,24,28,20.5,1010.6,86,7.11,17.7,11.7,22.2,,,,,
